parameter,category,priority,english_name,explanation
PLAYBIN_GST_BUS_LOG,Observability,primary,GStreamer bus message logging,"Log key GStreamer bus messages (STATE_CHANGED, STREAM_START, LATENCY, ASYNC_DONE, EOS, ERROR). (Alias: GST_BUS_LOG)."
PLAYBIN_QSTATS_LOG,Observability,primary,Output queue stats logging,Log q_out current-level-time/buffers/bytes to diagnose buffering/underruns. (Alias: QSTATS_LOG).
PLAYBIN_TIMING_LOG,Observability,secondary,Playbin timing instrumentation,"Enable high-resolution timing logs around about-to-finish, set_uri, EOS, and queue levels. (Alias: TIMING_LOG / TIMING_ENABLE)."
BRIDGE_CUT_MAX_CAND,Bridge & Packchain,secondary,Smart-cut max candidates,"Maximum number of candidate timestamps evaluated during smart-cut search; more candidates = better pick, more CPU."
BRIDGE_CUT_SCAN_S,Bridge & Packchain,secondary,Smart-cut scan window (seconds),"If >0, preprocess searches around the ideal fadeout start to find a lower-energy window (RMS) to start the fade, reducing 'fade on a transient'."
BRIDGE_CUT_WIN_MS,Bridge & Packchain,secondary,Smart-cut analysis window (ms),"Window size for RMS measurement during smart-cut search; larger smooths measurement, smaller reacts to transients."
BRIDGE_EDGE_FADE_MS,Bridge & Packchain,secondary,Pack edge fade (milliseconds),Adds tiny fade-in at the start of extracted tails/segments to suppress clicks at hard cuts; kept small (<=20ms).
BRIDGE_EDGE_FADE_SHAPE,Bridge & Packchain,secondary,Pack edge fade curve,"Curve used for micro edge fades (e.g., qsin/hsin/esin/lin); affects click suppression without audible pumping."
BRIDGE_ENABLE,Bridge & Packchain,primary,Enable bridge-plan packchain,"Enables the bridge-plan workflow (preprocess builds transition packs); when off, engine simply plays scheduler files back-to-back."
BRIDGE_PACK_ENABLE,Bridge & Packchain,primary,Enable pack building (packchain gate),"If supported by your PrefetcherPackChain implementation, toggles building of bridge packs; when false, it can degrade to plain safe files (no mixing)."
BRIDGE_PACK_MERGE,Bridge & Packchain,secondary,Merge pack segments into one file,"When true, preprocess merges A_head + bridge + B_mid into a single pack file to minimize playbin URI switches and reduce boundary artifacts."
BRIDGE_S,Bridge & Packchain,secondary,Bridge overlap duration (seconds),"Target duration of the transition segment where A fades out while B fades in; longer = smoother/less abrupt, but more 'mix' between tracks."
PREPROCESS_AHEAD,Preprocess & Resources,secondary,Preprocess lookahead (tracks),Number of upcoming scheduler items to preprocess ahead of playback; increases resilience but raises CPU/disk activity.
PREPROCESS_CACHE_DIR,Preprocess & Resources,secondary,Preprocess cache directory,Directory where safe_* and pack_* files are stored (default /tmp/azurmix_cache). Should be fast local storage.
PREPROCESS_CACHE_MAX_MB,Preprocess & Resources,secondary,Preprocess cache size cap (MB),Soft cap for cache eviction; limits disk usage by pruning old cached files when exceeding this size.
PREPROCESS_CHANNELS,Preprocess & Resources,secondary,Preprocess channel count,Channels used for cached safe files (1 or 2); should match engine CHANNELS for consistency.
PREPROCESS_CPU_LIMIT_PCT,Preprocess & Resources,secondary,FFmpeg CPU limit per job (%),"If cpulimit is available, caps CPU usage of each ffmpeg process to this percentage; reduces contention on small hosts."
PREPROCESS_ENABLE,Preprocess & Resources,primary,Enable FFmpeg preprocessing,"Master switch: when true, tracks are transcoded into 'safe' cached files before playback; enables silence trim, duration cap, and post DSP."
PREPROCESS_ENFORCE_SAFE,Preprocess & Resources,secondary,Require safe cache before playback,"When true, engine/prefetch waits for safe_* output; if safe isn't ready, it may return empty (or fall back to silence) instead of using the unprocessed original."
PREPROCESS_FADEIN_S,Preprocess & Resources,secondary,Fade-in duration (seconds),Applies a fade-in at the start of safe files; reduces clicks and helps start playback cleanly.
PREPROCESS_FADEOUT_P,Preprocess & Resources,secondary,Fade-out curve selector,"Maps a numeric 'power' to a curve family (qsin/hsin/esin) used for fade-out; higher values bias toward smoother, less linear fades."
PREPROCESS_FADEOUT_S,Preprocess & Resources,secondary,Fade-out duration (seconds),Applies a fade-out near the end (and in bridge tails) to create smooth exits and enable bridge mixing.
PREPROCESS_FADE_EVAL,Preprocess & Resources,secondary,FFmpeg fade evaluation mode,"Controls how FFmpeg evaluates fade curves (e.g., 'sample' for sample-accurate fades); impacts smoothness/precision of fades."
PREPROCESS_FFMPEG_THREADS,Preprocess & Resources,secondary,FFmpeg threads per job,Sets ffmpeg -threads for each preprocessing job; lowering reduces CPU spikes and makes timing more deterministic.
PREPROCESS_FORMAT,Preprocess & Resources,primary,Preprocess output format,Format for cached files ('wav' or 'mp3'); wav avoids lossy re-encode during trimming/packs but costs more disk.
PREPROCESS_IONICE_CLASS,Preprocess & Resources,secondary,FFmpeg IO scheduling class,"Sets ionice class for ffmpeg disk IO (e.g., 2=best-effort) when ionice is available; helps avoid IO starvation."
PREPROCESS_IONICE_LEVEL,Preprocess & Resources,secondary,FFmpeg IO scheduling level,"Sets ionice level within class (0-7); higher is lower priority, reducing impact on other processes."
PREPROCESS_MAX_S,Preprocess & Resources,primary,Maximum safe duration (seconds),Hard cap for produced safe files; trims/limits long tracks to this duration to guarantee predictable transitions and pack alignment.
PREPROCESS_MP3_BITRATE_KBPS,Preprocess & Resources,secondary,Preprocess MP3 bitrate (kbps),"If PREPROCESS_FORMAT=mp3, bitrate used for cached files; wav is recommended for lossless trimming/packs."
PREPROCESS_MP3_CBR,Preprocess & Resources,primary,Preprocess MP3 CBR enable,"If PREPROCESS_FORMAT=mp3, toggles constant bitrate mode for cached outputs."
PREPROCESS_NICE,Preprocess & Resources,secondary,FFmpeg process nice level,Adjusts CPU scheduling priority (higher nice = lower priority) for ffmpeg jobs to protect realtime playback.
PREPROCESS_POST_ENABLE,Preprocess & Resources,primary,Enable post-processing DSP chain,"Enables loudness gain, HPF, compressor, limiter stages after trimming/transcoding; affects final loudness and dynamics."
PREPROCESS_SAMPLE_RATE,Preprocess & Resources,secondary,Preprocess sample rate (Hz),Sample rate used for cached safe files; should match engine SAMPLE_RATE to avoid extra resampling.
PREPROCESS_TTL_H,Preprocess & Resources,secondary,Preprocess cache TTL (hours),"Time-to-live for cached artifacts; higher reduces recomputation, but keeps disk usage longer."
PREPROCESS_WAIT_S,Preprocess & Resources,secondary,Safe cache wait timeout (seconds),"How long prefetch waits for safe_* to become available; too short yields more fallbacks, too long can block prefetch under heavy load."
PREPROCESS_WORKERS,Preprocess & Resources,secondary,Preprocess worker count,"Concurrency for preprocessing; more workers = faster warm cache, but more CPU/IO contention."
PREPROCESS_SILENCE_D,Silence Detection,secondary,Minimum silence duration (seconds),Minimum continuous duration below threshold to qualify as silence; avoids trimming brief low-level passages.
PREPROCESS_SILENCE_ENABLE,Silence Detection,primary,Enable intro silence trimming,"Uses FFmpeg silencedetect-style analysis to detect leading silence and trims it, improving perceived pacing and reducing dead air."
PREPROCESS_SILENCE_NOISE_DB,Silence Detection,secondary,Silence threshold (dB),"Noise floor threshold for silence detection (e.g., -20dB): higher (closer to 0) trims more aggressively, risk cutting quiet intros."
PREPROCESS_SILENCE_SCAN_MAX_S,Silence Detection,secondary,Max scan duration for silence detect (seconds),Only scans the first N seconds for intro silence; keeps preprocessing bounded for long tracks.
POST_GAIN_DB,Loudness & EQ,secondary,Post output gain (dB),Static gain applied at the final GStreamer volume element before encoding/streaming; adjusts loudness globally without changing dynamics.
PREPROCESS_HPF_ENABLE,Loudness & EQ,primary,Enable high-pass filter,"When true, applies an HPF to remove subsonic rumble/low-frequency DC-like content; can improve headroom and limiter behavior."
PREPROCESS_HPF_FREQ,Loudness & EQ,secondary,High-pass cutoff frequency (Hz),"Cutoff frequency for HPF; very low values (5-30Hz) remove rumble without thinning bass, higher values reduce bass weight."
PREPROCESS_LUFS_GAIN_ENABLE,Loudness & EQ,primary,Enable LUFS-based static gain,"When enabled, preprocess measures integrated loudness and applies a static gain delta (clamped) to align tracks toward a target LUFS without loudnorm re-shaping."
PREPROCESS_LUFS_GAIN_MAX_DB,Loudness & EQ,secondary,Maximum LUFS gain (dB),Upper clamp for gain correction; prevents boosting very quiet tracks into noise/distortion territory.
PREPROCESS_LUFS_GAIN_MIN_DB,Loudness & EQ,secondary,Minimum LUFS gain (dB),Lower clamp for applied gain correction; prevents over-attenuating very loud masters.
PREPROCESS_LUFS_I,Loudness & EQ,secondary,Target integrated loudness (LUFS),"Desired integrated loudness target (e.g., -12 LUFS). Higher (less negative) = louder output; may trigger limiter more often."
PREPROCESS_COMP_ATTACK_MS,Dynamics & Limiting,secondary,Compressor attack time (ms),"How fast compression engages after crossing threshold; shorter clamps transients, longer preserves punch. "
PREPROCESS_COMP_ENABLE,Dynamics & Limiting,primary,Enable compressor,"Applies FFmpeg compressor to reduce dynamic range (tames peaks, raises quiet parts with makeup). Use carefully to avoid pumping."
PREPROCESS_COMP_KNEE_DB,Dynamics & Limiting,secondary,Compressor knee (dB),"Softens onset of compression around threshold; larger knee = smoother, less obvious compression."
PREPROCESS_COMP_MAKEUP_DB,Dynamics & Limiting,secondary,Compressor makeup gain (dB),Gain applied after compression to restore loudness; too much increases noise/distortion risk.
PREPROCESS_COMP_RATIO,Dynamics & Limiting,secondary,Compressor ratio,"Strength of compression once above threshold (e.g., 2:1). Higher ratios flatten dynamics more."
PREPROCESS_COMP_RELEASE_MS,Dynamics & Limiting,secondary,Compressor release time (ms),"How fast compression relaxes after signal drops; shorter reduces pumping lag, longer sounds smoother but can pump. "
PREPROCESS_COMP_THRESHOLD_DB,Dynamics & Limiting,secondary,Compressor threshold (dB),"Level above which compression engages; closer to 0 compresses more of the signal, lower compresses only loud peaks. "
PREPROCESS_LIMITER_ATTACK_MS,Dynamics & Limiting,secondary,Limiter attack time (ms),"How fast limiter clamps peaks; shorter catches transients but can distort, longer preserves transients but risks overs. "
PREPROCESS_LIMITER_CEILING_DB,Dynamics & Limiting,secondary,Limiter ceiling (dBFS),"Maximum allowed peak level (e.g., -1.0 dBFS) to keep headroom for encoder/streaming."
PREPROCESS_LIMITER_ENABLE,Dynamics & Limiting,primary,Enable limiter,Applies a true/brickwall-ish limiter stage to prevent peaks exceeding ceiling; protects against clipping after gain/comp.
PREPROCESS_LIMITER_LEVEL,Dynamics & Limiting,secondary,Limiter auto-leveling mode,"When true (code-dependent), limiter may also level overall signal (can change perceived loudness); keep false for pure peak limiting."
PREPROCESS_LIMITER_RELEASE_MS,Dynamics & Limiting,secondary,Limiter release time (ms),How fast limiter releases after peak; affects pumping vs transparency.
CHANNELS,Output (Icecast & Encoding),secondary,Output channel count,"Number of output channels (1=mono, 2=stereo) for the stream; affects spatial image and bandwidth."
ICECAST_DESCRIPTION,Output (Icecast & Encoding),primary,Stream description,Metadata: longer description sent to Icecast (shown in status page / players).
ICECAST_GENRE,Output (Icecast & Encoding),primary,Stream genre,Metadata: genre tag sent to Icecast (status page / directory).
ICECAST_HOST,Output (Icecast & Encoding),primary,Icecast server hostname,Host/IP of the Icecast server shout2send connects to. 
ICECAST_MOUNT,Output (Icecast & Encoding),primary,Icecast mountpoint,"Mount path on Icecast (e.g., /gst-test.mp3) where the stream is published. "
ICECAST_NAME,Output (Icecast & Encoding),secondary,Stream display name,Metadata: stream name sent to Icecast (shown in status page / players).
ICECAST_PASSWORD,Output (Icecast & Encoding),secondary,Icecast source password,Icecast source password used by shout2send to authenticate (matches icecast.xml). 
ICECAST_PORT,Output (Icecast & Encoding),secondary,Icecast server port,TCP port of the Icecast server (often 8000). 
ICECAST_PROTOCOL,Output (Icecast & Encoding),secondary,Icecast protocol version,shout2send protocol selector (commonly 3 for Icecast2). Mostly a transport/handshake detail.
ICECAST_PUBLIC,Output (Icecast & Encoding),primary,Icecast 'public' flag,Advertises the stream as public (directory listing) depending on Icecast setup.
ICECAST_SEND_TITLE_INFO,Output (Icecast & Encoding),primary,Send per-track title metadata,"When true, engine attempts to push current track title/artist updates to Icecast metadata (can add chatter; keep off if you inject metadata elsewhere)."
ICECAST_USERNAME,Output (Icecast & Encoding),secondary,Icecast source username,Icecast source username used by shout2send (often 'source'). 
MP3_BITRATE_KBPS,Output (Icecast & Encoding),secondary,MP3 bitrate (kbps),"lamemp3enc target bitrate; higher increases quality/bandwidth, lower reduces bandwidth but may introduce artifacts."
MP3_CBR,Output (Icecast & Encoding),primary,MP3 constant bitrate enable,"When true, forces CBR mode in MP3 encoder; improves predictability for some clients at the cost of efficiency on complex audio."
SAMPLE_RATE,Output (Icecast & Encoding),secondary,Output sample rate (Hz),"Target PCM sample rate for the GStreamer pipeline and encoding stage (e.g., 44100). Affects resampling cost and potential HF roll-off if downsampled."
SWITCH_GUARD_HOLD_S,Playback Engine,secondary,Switch guard hold time (seconds),Minimum hold time during which additional set_uri calls are ignored (reentrancy guard); reduces accidental double-switch in fast callbacks.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,

